!!!	actors.mobs.goo.!!!	%21%21%21
#$%^	actors.mobs.mob.rage	%23%24%25%5E
%arg% burns up!	actors.buffs.burning.burnsup	%25s%20burns%20up%21
%arg% hit combo!	actors.buffs.combo.combo	%25d%20hit%20combo%21
%arg% killed you...	actors.char.kill	%25s%20killed%20you...
%arg% of affection	items.armor.glyphs.affection.name	%25s%20of%20affection
%arg% of anti-entropy	items.armor.curses.antientropy.name	%25s%20of%20anti-entropy
%arg% of displacement	items.armor.curses.displacement.name	%25s%20of%20displacement
%arg% of entanglement	items.armor.glyphs.entanglement.name	%25s%20of%20entanglement
%arg% of metabolism	items.armor.curses.metabolism.name	%25s%20of%20metabolism
%arg% of multiplicity	items.armor.curses.multiplicity.name	%25s%20of%20multiplicity
%arg% of potential	items.armor.glyphs.potential.name	%25s%20of%20potential
%arg% of stench	items.armor.curses.stench.name	%25s%20of%20stench
%arg% of viscosity	items.armor.glyphs.viscosity.name	%25s%20of%20viscosity
vampiric %arg%	items.weapon.enchantments.vampiric.name	vampiric%20%25s
victory!	badges$badge.victory.title	Victory%21
wall	levels.level.wall_name	Wall
wand of disintegration	items.wands.wandofdisintegration.name	Wand%20of%20Disintegration
wand of lightning	items.wands.wandoflightning.name	Wand%20of%20Lightning
wand of magic missile	items.wands.wandofmagicmissile.name	Wand%20of%20Magic%20Missile
wand of regrowth	items.wands.wandofregrowth.name	Wand%20of%20Regrowth
war hammer	items.weapon.melee.warhammer.name	war%20hammer
warden	actors.hero.herosubclass.warden	Warden
warden	actors.hero.herosubclass.warden	warden
warlock	actors.hero.herosubclass.warlock	Warlock
warlock	actors.hero.herosubclass.warlock	warlock
warrior	actors.hero.heroclass.warrior	Warrior
warrior	actors.hero.heroclass.warrior	warrior
water	levels.level.water_name	Water
well	levels.level.well_name	Well
well of awareness	journal.notes$landmark.well_of_awareness	Well%20of%20Awareness
well of health	journal.notes$landmark.well_of_health	Well%20of%20Health
what is it? i have no time for this nonsense. my kingdom won't rule itself!	actors.mobs.npcs.ratking.what_is_it	What%20is%20it%3F%20I%20have%20no%20time%20for%20this%20nonsense.%20My%20kingdom%20won%27t%20rule%20itself%21
when something touches a firebloom, it bursts into flames.	plants.firebloom.desc	When%20something%20touches%20a%20Firebloom%2C%20it%20bursts%20into%20flames.
who would need a bookshelf in a cave?	levels.caveslevel.bookshelf_desc	Who%20would%20need%20a%20bookshelf%20in%20a%20cave%3F
wraith	actors.mobs.wraith.name	wraith
yes	scenes.heroselectscene.daily_yes	Yes
yes, i'm positive	items.potions.exotic.exoticpotion.yes	Yes%2C%20I%27m%20positive
yog-dzewa	actors.mobs.yogdzewa.name	Yog-Dzewa
you	actors.hero.hero.name	you
borderless windowed mode	custom.settings.borderless_windowed_mode	Borderless%20Windowed%20Mode
it is indeed quite short, just a few inches longer, than a dagger.	items.weapon.melee.shortsword.desc	It%20is%20indeed%20quite%20short%2C%20just%20a%20few%20inches%20longer%2C%20than%20a%20dagger.
long sword	items.weapon.melee.longsword.name	Long%20sword
short sword	items.weapon.melee.shortsword.name	Short%20sword
windowed mode	custom.settings.windowed_mode	Windowed%20Mode
you are bleeding!	actors.buffs.bleeding.heromsg	You%20are%20bleeding%21
you are blinded!	actors.buffs.blindness.heromsg	You%20are%20blinded%21
you are charmed!	actors.buffs.charm.heromsg	You%20are%20charmed%21
you are crippled!	actors.buffs.cripple.heromsg	You%20are%20crippled%21
you are hungry.	actors.buffs.hunger.onhungry	You%20are%20hungry.
you are not feeling well.	items.food.mysterymeat.not_well	You%20are%20not%20feeling%20well.
you are now aware of the level layout.	items.scrolls.scrollofmagicmapping.layout	You%20are%20now%20aware%20of%20the%20level%20layout.
you are paralysed!	actors.buffs.paralysis.heromsg	You%20are%20paralysed%21
you are poisoned!	actors.buffs.poison.heromsg	You%20are%20poisoned%21
you are starving!	actors.buffs.hunger.onstarving	You%20are%20starving%21
you are stuffed.	items.food.mysterymeat.stuffed	You%20are%20stuffed.
you become furious!	actors.buffs.fury.heromsg	You%20become%20furious%21
you bled to death...	actors.buffs.bleeding.ondeath	You%20bled%20to%20death...
you burned to death...	actors.buffs.burning.ondeath	You%20burned%20to%20death...
you can somehow feel the presence of other creatures' minds!	items.potions.potionofmindvision.see_mobs	You%20can%20somehow%20feel%20the%20presence%20of%20other%20creatures%27%20minds%21
you can somehow tell that you are alone on this level at the moment.	items.potions.potionofmindvision.see_none	You%20can%20somehow%20tell%20that%20you%20are%20alone%20on%20this%20level%20at%20the%20moment.
you can't feel your legs!	items.food.mysterymeat.legs	You%20can%27t%20feel%20your%20legs%21
you can't move!	actors.buffs.roots.heromsg	You%20can%27t%20move%21
you can't see the bottom.	levels.level.chasm_desc	You%20can%27t%20see%20the%20bottom.
you catch fire!	actors.buffs.burning.heromsg	You%20catch%20fire%21
you died from poison...	actors.buffs.poison.ondeath	You%20died%20from%20poison...
you don't know what is there.	scenes.gamescene.dont_know	You%20don%27t%20know%20what%20is%20there.
you feel better!	items.food.frozencarpaccio.better	You%20feel%20better%21
you feel uncommon freshness in the air.	items.potions.potionofpurity.freshness	You%20feel%20uncommon%20freshness%20in%20the%20air.
you feel weakened!	actors.buffs.weakness.heromsg	You%20feel%20weakened%21
you fell to death...	levels.features.chasm.ondeath	You%20fell%20to%20death...
you float into the air!	items.potions.potionoflevitation.float	You%20float%20into%20the%20air%21
you killed yourself with your own wand of lightning...	items.wands.wandoflightning.ondeath	You%20killed%20yourself%20with%20your%20own%20Wand%20of%20Lightning...
you need to be wearing this armor to use its special power!	items.armor.classarmor.not_equipped	You%20need%20to%20be%20wearing%20this%20armor%20to%20use%20its%20special%20power%21
you see your hands turn invisible!	items.food.frozencarpaccio.invis	You%20see%20your%20hands%20turn%20invisible%21
you starved to death...	actors.buffs.hunger.ondeath	You%20starved%20to%20death...
you were killed by the explosion of bones...	actors.mobs.skeleton.explo_kill	You%20were%20killed%20by%20the%20explosion%20of%20bones...
you won't know what's inside until you open it!	items.heap.chest_desc	You%20won%27t%20know%20what%27s%20inside%20until%20you%20open%20it%21
you won't know what's inside until you open it! but to open it you need a golden key.	items.heap.locked_chest_desc	You%20won%27t%20know%20what%27s%20inside%20until%20you%20open%20it%21%20But%20to%20open%20it%20you%20need%20a%20golden%20key.
your badges	windows.wndjournal$badgestab.title_main_menu	Your%20Badges
your steps echo across the dungeon.	levels.level$feeling.chasm_desc	Your%20steps%20echo%20across%20the%20dungeon.
zap	items.artifacts.lloydsbeacon.ac_zap	ZAP

play	custom.title.play
library	custom.title.library
settings	custom.title.settings
rankings	custom.title.rankings
badges	custom.title.badges
rat king	custom.title.rat_king
about	custom.title.about
music	custom.settings.music
sound fx	custom.settings.sound_fx
language	custom.settings.language
sewers	custom.library.theme.sewers
prison	custom.library.theme.prison
caves	custom.library.theme.caves
city	custom.library.theme.city
halls	custom.library.theme.halls
a realtime platform adaption of skillful pixel dungeon by bilboldev	custom.title.about_text
signed	custom.generated.signed_c5d4d41342
badge unlocked	custom.generated.badge_unlocked_7a11bf6d03
reach %arg%	custom.generated.reach_arg_9afac0c302
i acknowledge that the rat king is superior in every way, is stronger than me, is smarter than me, and is faster than me. i will follow his commands in my adventures. i will enteratin him. i will restore his crown and kingdom. all will obey the one true king.	custom.generated.rat_king_contract_5c72c2fef4
the rat king is just a visual effect and will not assist you in game play. this is pure cosmetics.	custom.generated.rat_king_cosmetics_notice_94a8d4e2bf

%arg% disarmed	custom.generated.arg_disarmed_148e661cab	%25s%20disarmed
%arg% is %arg% with %arg% skills	custom.generated.arg_is_arg_with_arg_1411df0151	%25s%20is%20%25s%20with%20%25s%20skills
%arg% joins you	custom.generated.arg_joins_you_095509ead1	%25s%20joins%20you
%arg% minds sensed	custom.generated.arg_minds_sensed_6a906a8bcc	%25s%20minds%20sensed
%arg% starts with %arg% health and gains %arg% per level	custom.generated.arg_starts_with_arg_health_429b446bac	%25s%20starts%20with%20%25s%20health%20and%20gains%20%25s%20per%20level
%arg% starts with %arg% mana and gains %arg% per level	custom.generated.arg_starts_with_arg_mana_e2ffb9715d	%25s%20starts%20with%20%25s%20mana%20and%20gains%20%25s%20per%20level
%arg% triggered!!!	custom.generated.arg_triggered_141131fc19	%25s%20triggered%21%21%21
%arg% x %arg%%arg%	custom.generated.arg_x_argarg_efa94b2be6	%25s%20x%20%25d%25s
%arg%'s attack speed is %arg%.	custom.generated.arg_s_attack_speed_is_arg_3d8f4c3596	%25s%27s%20attack%20speed%20is%20%25s.
%arg%'s movement speed is %arg%.	custom.generated.arg_s_movement_speed_is_arg_870c8f690a	%25s%27s%20movement%20speed%20is%20%25s.
%arg%\n%arg%%arg%	custom.generated.arg_nargarg_2b19f60656	%25s%5Cn%25s%25s
%arg%\n%arg%: %arg%	custom.generated.arg_narg_arg_8ba7bd2a0e	%25s%5Cn%25s%3A%20%25s
%arg%\n%arg%: %arg%%arg%	custom.generated.arg_narg_argarg_f82da70eb8	%25s%5Cn%25s%3A%20%25s%25s
%arg%\n%arg%depth reached: %arg%%arg%\n%arg%fell on %arg%%arg%	custom.generated.arg_nargdepth_reached_argarg_nargfell_1b8ec6d70d	%25s%5Cn%25sDepth%20reached%3A%20%25d%25s%5Cn%25sFell%20on%20%25s%25s
%arg%\n\n%arg%custom.generated.this_is_a_stack_of_878540b56a%arg%	custom.generated.arg_n_nargcustom_generated_this_is_a_stack_of_878540b56aarg_6f8df6a167	%25s%5Cn%5Cn%25scustom.generated.this_is_a_stack_of_878540b56a%25s
%arg%\n\n%arg%it takes %arg% skill points to learn this skill.%arg%	custom.generated.arg_n_nargit_takes_arg_skill_points_a83ca6ec85	%25s%5Cn%5Cn%25sIt%20takes%20%25d%20skill%20points%20to%20learn%20this%20skill.%25s
%arg%\n\n%arg%this skill is locked out.	custom.generated.arg_n_nargthis_skill_is_locked_out_55353a34a3	%25s%5Cn%5Cn%25sThis%20skill%20is%20locked%20out.
%arg%\n\n%arg%this subclass is unlocked by the tome of mastery dropped by tengu.	custom.generated.arg_n_nargthis_subclass_is_unlocked_by_88f39d7bf7	%25s%5Cn%5Cn%25sThis%20subclass%20is%20unlocked%20by%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.
%arg%\n\n%arg%you have unlocked this skill!	custom.generated.arg_n_nargyou_have_unlocked_this_skill_535841fe2a	%25s%5Cn%5Cn%25sYou%20have%20unlocked%20this%20skill%21
%arg%\n\nit can also be used to mine dark gold veins for the troll blacksmith.	custom.generated.arg_n_nit_can_also_be_used_5a41d6e456	%25s%5Cn%5CnIt%20can%20also%20be%20used%20to%20mine%20dark%20gold%20veins%20for%20the%20troll%20blacksmith.
%arg%\n\nthis is a stack of %arg% %arg%	custom.generated.arg_n_nthis_is_a_stack_of_ccb755d32a	%25s%5Cn%5CnThis%20is%20a%20stack%20of%20%25s%20%25s
+%arg% gold	custom.generated.arg_gold_5d60a35ba9	%2B%25s%20gold
+%arg% hp +%arg%%arg% att. speed	custom.generated.arg_hp_argarg_att_speed_4ffcc4dc83	%2B%25d%20HP%20%2B%25d%25%25%20att.%20speed
+%arg% hp +%arg%%arg% damage	custom.generated.arg_hp_argarg_damage_9d503422bc	%2B%25d%20HP%20%2B%25d%25%25%20damage
+%arg% skill point	custom.generated.arg_skill_point_5b980da432	%2B%25d%20Skill%20Point
+%arg% str	custom.generated.arg_str_2fd6a73555	%2B%25d%20STR
+%arg%%arg% chance of avoiding attacks	custom.generated.argarg_chance_of_avoiding_attacks_d6c213d80e	%2B%25d%25%25%20chance%20of%20avoiding%20attacks
+%arg%%arg% damage	custom.generated.argarg_damage_87edbce5a3	%2B%25d%25%25%20damage
+%arg%%arg% defence	custom.generated.argarg_defence_37fd4d063d	%2B%25d%25%25%20defence
+%arg%%arg% mana	custom.generated.argarg_mana_ab4fb35202	%2B%25d%25%25%20mana
+%arg%%arg% regen	custom.generated.argarg_regen_d006248f83	%2B%25d%25%25%20regen
-%arg% gold	custom.generated.arg_gold_33d3f8fb98	-%25s%20gold
.properties	custom.generated.properties_3eed475fea
.title	custom.generated.title_f2e5f12437
10x shuriken	custom.generated.10x_shuriken_d9425d87a1
2x rations	custom.generated.2x_rations_b9f63297ef
30x arrows	custom.generated.30x_arrows_94f71280d2
3x health pots	custom.generated.3x_health_pots_53532af082
4x health pots	custom.generated.4x_health_pots_015a213459
5x health pots	custom.generated.5x_health_pots_a8be573a1c
5x mana pots	custom.generated.5x_mana_pots_d6d1e98e90
> +%arg%%arg% damage	custom.generated.argarg_damage_bca85a4de1	%3E%20%2B%25d%25%25%20damage
> +%arg%%arg% damage\n> +%arg% required strength	custom.generated.argarg_damage_n_arg_required_strength_5086f0ddbc	%3E%20%2B%25d%25%25%20damage%5Cn%3E%20%2B%25d%20required%20strength
> +%arg%%arg% defence	custom.generated.argarg_defence_f14bc4ce82	%3E%20%2B%25d%25%25%20defence
> +%arg%%arg% defence\n> +%arg% required strength	custom.generated.argarg_defence_n_arg_required_strength_92684ad3fb	%3E%20%2B%25d%25%25%20defence%5Cn%3E%20%2B%25d%20required%20strength
> -%arg%%arg% damage	custom.generated.argarg_damage_9a57b72a2a	%3E%20-%25d%25%25%20damage
> -%arg%%arg% damage\n> -%arg% required strength	custom.generated.argarg_damage_n_arg_required_strength_d790de96ba	%3E%20-%25d%25%25%20damage%5Cn%3E%20-%25d%20required%20strength
> -%arg%%arg% defence	custom.generated.argarg_defence_6fb4cd4c5d	%3E%20-%25d%25%25%20defence
> adjacent attackers can be charmed into a brief truce	custom.generated.adjacent_attackers_can_be_charmed_a53fcf31c7
> adjacent attackers can be knocked away	custom.generated.adjacent_attackers_can_be_knocked_c8fcbd2582
> adjacent hits can erupt into a toxic gas cloud	custom.generated.adjacent_hits_can_erupt_into_f5e277b782
> adjacent hits can freeze attackers and ignite the wearer	custom.generated.adjacent_hits_can_freeze_attackers_630ac8647e
> adjacent hits can unleash shared lightning damage	custom.generated.adjacent_hits_can_unleash_shared_2b85869ab7
> can convert stored energy into a burst of healing	custom.generated.can_convert_stored_energy_into_b87bce9f86
> can defer incoming damage into a lingering aftershock	custom.generated.can_defer_incoming_damage_into_0f4bd80805
> can root attackers while raising earthroot armor around the wearer	custom.generated.can_root_attackers_while_raising_4516e511a5
> can split off a mirror image when the wearer is struck	custom.generated.can_split_off_a_mirror_1457660515
> each proc becomes a random enchantment effect	custom.generated.each_proc_becomes_a_random_d510b763ff
> hits can add fire damage and set enemies burning	custom.generated.hits_can_add_fire_damage_435cb98c63
> hits can leave enemies paralyzed	custom.generated.hits_can_leave_enemies_paralyzed_3261206d4c
> hits can leave enemies terrified or heroes reeling with vertigo	custom.generated.hits_can_leave_enemies_terrified_3f14e27568
> hits can poison enemies over time	custom.generated.hits_can_poison_enemies_over_7ec5f0e7cf
> hits can slow enemies with biting cold	custom.generated.hits_can_slow_enemies_with_cff9010c0a
> hits can unleash chain lightning into nearby foes	custom.generated.hits_can_unleash_chain_lightning_f3033b4856
> hits have a chance to cripple enemies	custom.generated.hits_have_a_chance_to_44477ca5b9
> rare hits instantly kill non-boss enemies	custom.generated.rare_hits_instantly_kill_non_boss_f80cbf07a7
> reflects some damage back to attackers	custom.generated.reflects_some_damage_back_to_473e3ac19b
> rerolls damage and keeps the best result	custom.generated.rerolls_damage_and_keeps_the_5f07064179
> spends gold to mend the wearer when struck	custom.generated.spends_gold_to_mend_the_3f984f596a
> stabilizes weak damage rolls into steadier hits	custom.generated.stabilizes_weak_damage_rolls_into_bd3cab54dc
> successful hits leech health back to the attacker	custom.generated.successful_hits_leech_health_back_d10229d014
> the wearer can blink to another spot when hurt	custom.generated.the_wearer_can_blink_to_297f73b36c
a basic ranged weapon for taunting enemies from distance.	custom.generated.a_basic_ranged_weapon_for_404da6488d
a bigger stack contains %arg%%arg% more quantity.	custom.generated.a_bigger_stack_contains_argarg_5edda83e8d	A%20bigger%20stack%20contains%20%25d%25%25%20more%20quantity.
a chest holding valuable treasure.\npicking up the treasure may trigger alarms.	custom.generated.a_chest_holding_valuable_treasure__npicking_f3535fa871
a compact throwing axe that trades ammo count for brutal single-hit damage.	custom.generated.a_compact_throwing_axe_that_34da17d516
a conjured elemental that crackles with heat and swipes with burning claws once it reaches its target.	custom.generated.a_conjured_elemental_that_crackles_d5a711bf99
a dependable sword for hire.	custom.generated.a_dependable_sword_for_hire_963ca4b3c3
a forbidden rite that trades flesh for power. reading it grants %arg% strength at the cost of %arg%%arg% of your current vitality.	custom.generated.a_forbidden_rite_that_trades_918e67af4f	A%20forbidden%20rite%20that%20trades%20flesh%20for%20power.%20Reading%20it%20grants%20%25d%20Strength%20at%20the%20cost%20of%20%25d%25%25%20of%20your%20current%20vitality.
a hack sword for testing. how did you spawn this?	custom.generated.a_hack_sword_for_testing_867996de0e
a hateful knot of cursed magic given shape by the ghost's lingering torment.	custom.generated.a_hateful_knot_of_cursed_e5294b677a
a hearty cut of meat that fills the stomach just like standard rations.	custom.generated.a_hearty_cut_of_meat_28bc2829c6
a heavy throwing spear that hits hard but is thrown more deliberately.	custom.generated.a_heavy_throwing_spear_that_8ddc3f2c91
a heroic draught that permanently increases your strength and maximum health.	custom.generated.a_heroic_draught_that_permanently_22aee281b7
a hostile denizen of the dungeon.	custom.generated.a_hostile_denizen_of_the_21848d898f
a living gemstone that slowly stores restorative energy while worn.	custom.generated.a_living_gemstone_that_slowly_d97c0d6fc2
a magically chilled bow whose arrows sap speed from anything they strike.	custom.generated.a_magically_chilled_bow_whose_dcc806cbb0
a magically heated bow whose arrows explode with extra impact on a clean hit.	custom.generated.a_magically_heated_bow_whose_d922669e3c
a nasty toxin-tipped dart that briefly cripples what it hits.	custom.generated.a_nasty_toxin_tipped_dart_that_8fa5947c52
a piece of iron shaped to fit around the knuckles.	custom.generated.a_piece_of_iron_shaped_244a777fd9
a preparatory script that hardens the reader for the next fight.	custom.generated.a_preparatory_script_that_hardens_d3a58dcb2b
a psychic detonation that damages and briefly blinds every hostile creature nearby.	custom.generated.a_psychic_detonation_that_damages_4121c2e955
a rarer brute variant that leans fully into defense, advancing like a shield wall and demanding far more damage to bring down cleanly.	custom.generated.a_rarer_brute_variant_that_fb9a3ede61
a rarer elder monk whose strikes hit harder than the standard cave disciple and can abruptly swing a close fight.	custom.generated.a_rarer_elder_monk_whose_9280d315d0
a runic script that lays a magical enchantment on a weapon or a glyph on armor, replacing ordinary modifiers with a special property.	custom.generated.a_runic_script_that_lays_aeca21ee3e
a scroll of sanctuary warps its reader to a safe room.	custom.generated.a_scroll_of_sanctuary_warps_1c32fd345e
a scroll.	custom.generated.a_scroll_8d59477957
a seasoned huntress keeps fresh food on hand.\ngenerates food passively.	custom.generated.a_seasoned_huntress_keeps_fresh_ba406657d7
a short-lived royal summon that exists to crowd the city boss arena and keep the pressure on.	custom.generated.a_short_lived_royal_summon_that_548f3735ff
a simple bow tuned for the ranged slot, firing a steady stream of arrows.	custom.generated.a_simple_bow_tuned_for_8903d536f7
a small iron key that unlocks a locked door on this floor.	custom.generated.a_small_iron_key_that_0576595db9
a small stack contains %arg%%arg% less quantity.	custom.generated.a_small_stack_contains_argarg_06b5ddeb75	A%20small%20stack%20contains%20%25d%25%25%20less%20quantity.
a sorrowmoss is a flower with razor-sharp petals, coated with a deadly venom.	custom.generated.a_sorrowmoss_is_a_flower_f6e7ef5d88
a taunting invocation that rouses every hostile creature on the floor.	custom.generated.a_taunting_invocation_that_rouses_e07166a81c
a vicious rite that restores the reader completely while bleeding every other creature in the room.	custom.generated.a_vicious_rite_that_restores_f4a76e27e0
a wand capable of conjuring firebolts.	custom.generated.a_wand_capable_of_conjuring_26049ad405
a wand capable of hurling fireballs into enemies.	custom.generated.a_wand_capable_of_hurling_430131edad
a wand that blinks the caster forward to the farthest safe spot in the chosen direction.	custom.generated.a_wand_that_blinks_the_bd14961b77
a wand that burdens its targets with a heavy, dragging curse.	custom.generated.a_wand_that_burdens_its_ade7c29764
a wand that conjures a clutch of short-lived mirror images to clog the path ahead.	custom.generated.a_wand_that_conjures_a_eaf07b808f
a wand that drives struck creatures into a violent, confused frenzy.	custom.generated.a_wand_that_drives_struck_05b8f248cd
a wand that hurls a crashing burst of stone which breaks into a damaging shockwave on impact.	custom.generated.a_wand_that_hurls_a_2ac51caf74
a wand that lashes out with force, swapping places with the first enemy it catches.	custom.generated.a_wand_that_lashes_out_470e047a4a
a wand that launches a venomous blast, dealing damage and poisoning what it strikes.	custom.generated.a_wand_that_launches_a_45ba39ff60
a wand that projects a scorching beam through every foe in front of the caster.	custom.generated.a_wand_that_projects_a_f51c2c5b1c
a wand that violently teleports the first creature it strikes to another spot in the room.	custom.generated.a_wand_that_violently_teleports_5845393b6a
a warrior can never be prepared enough.\ngain %arg% strength	custom.generated.a_warrior_can_never_be_cf5e97eb72	A%20warrior%20can%20never%20be%20prepared%20enough.%5CnGain%20%25d%20strength
a winter sigil that chills every hostile creature in the room, slowing and damaging them.	custom.generated.a_winter_sigil_that_chills_273ee20d83
abra something...	custom.generated.abra_something_fdf25a17cc
accuracy	custom.generated.accuracy_26de05a44d
achievements	custom.generated.achievements_c8e55211da
affection glyph	custom.generated.affection_glyph_936e338140
aggression	custom.generated.aggression_eb8c026c13
aimed shot	custom.generated.aimed_shot_b9db4b4c20
an ambitious imp is doing business below.	custom.generated.an_ambitious_imp_is_doing_06865123a9
an annihilating incantation that destroys non-boss hostiles on the current floor.	custom.generated.an_annihilating_incantation_that_destroys_64fa329c80
an elixir that instantly replenishes spiritual energy.	custom.generated.an_elixir_that_instantly_replenishes_1eb54d4a52
an elixir that will instantly return you to full health and cure poison.	custom.generated.an_elixir_that_will_instantly_7d6d5b4b52
an illusory copy shaped from the reader's silhouette and armed with a weaker echo of their attacks.	custom.generated.an_illusory_copy_shaped_from_5378fc2548
and	custom.generated.and_cffa50a32c
anti-entropy glyph	custom.generated.anti_entropy_glyph_d2e622d190
any luck with a phantom fish? you may want to search the lower prison pools and storerooms.	custom.generated.any_luck_with_a_phantom_c5f956b104
any luck with a rotberry seed? no? don't worry, i'm not in a hurry.	custom.generated.any_luck_with_a_rotberry_31381d3ad4
any luck with corpse dust? bone piles are the most obvious places to look.	custom.generated.any_luck_with_corpse_dust_ef2a5a1d54
archer	custom.generated.archer_29364a2351
are you an adventurer? i love adventurers! you can always rely on them if something needs to be killed. in my case this is golems who need to be killed. please, kill %arg% of them and a reward is yours.	custom.generated.are_you_an_adventurer_i_7b0328c225	Are%20you%20an%20adventurer%3F%20I%20love%20adventurers%21%20You%20can%20always%20rely%20on%20them%20if%20something%20needs%20to%20be%20killed.%20In%20my%20case%20this%20is%20golems%20who%20need%20to%20be%20killed.%20Please%2C%20kill%20%25d%20of%20them%20and%20a%20reward%20is%20yours.
are you an adventurer? i love adventurers! you can always rely on them if something needs to be killed. in my case this is monks who need to be killed. please, kill %arg% of them and bring me their tokens.	custom.generated.are_you_an_adventurer_i_efd3f28022	Are%20you%20an%20adventurer%3F%20I%20love%20adventurers%21%20You%20can%20always%20rely%20on%20them%20if%20something%20needs%20to%20be%20killed.%20In%20my%20case%20this%20is%20monks%20who%20need%20to%20be%20killed.%20Please%2C%20kill%20%25d%20of%20them%20and%20bring%20me%20their%20tokens.
arrow	custom.generated.arrow_39a531d92b
assassin skills rely on venom, evasion, and finishing blows. unlock assassin through the tome of mastery dropped by tengu.\n%arg%	custom.generated.assassin_skills_rely_on_venom_a83548a90c	Assassin%20skills%20rely%20on%20venom%2C%20evasion%2C%20and%20finishing%20blows.%20Unlock%20Assassin%20through%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
at the heart of the dungeon, the amulet of yendor waits in silence.	custom.generated.at_the_heart_of_the_cad92474b2
attack speed:	custom.generated.attack_speed_07efc57e52
attack:	custom.generated.attack_acbf9d1b11
auto-repair glyph	custom.generated.auto_repair_glyph_64857830ad
awareness	custom.generated.awareness_eee3afcf4f
back off!	custom.generated.back_off_a47bce1d2b
backpack is full.	custom.generated.backpack_is_full_70c96ab3e5
badges$badge.%arg%	custom.generated.badges_badge_arg_3a1a043f7c	badges%24badge.%25s
balanced throwing stars that fly quickly and can be loosed in rapid succession.	custom.generated.balanced_throwing_stars_that_fly_7898850e0b
bandit	custom.generated.bandit_0a66e107bb
battle mage	custom.generated.battle_mage_6cb384c2a7
battle mages rely on wands and summoned allies in combat.\n- +%arg% max health\n- +%arg% max mana\n- wand melee damage scales with current mana, up to +%arg%\n- successful wand hits restore %arg% mana\n- locks out warlock	custom.generated.battle_mages_rely_on_wands_8567f3fb10	Battle%20mages%20rely%20on%20wands%20and%20summoned%20allies%20in%20combat.%5Cn-%20%2B%25d%20max%20health%5Cn-%20%2B%25d%20max%20mana%5Cn-%20Wand%20melee%20damage%20scales%20with%20current%20mana%2C%20up%20to%20%2B%25d%5Cn-%20Successful%20wand%20hits%20restore%20%25d%20mana%5Cn-%20Locks%20out%20Warlock
beat game	custom.generated.beat_game_c7832852d1
being at war for so long can make warriors... more violent.\n+%arg%%arg% damage	custom.generated.being_at_war_for_so_45f9b9829d	Being%20at%20war%20for%20so%20long%20can%20make%20warriors...%20more%20violent.%5Cn%2B%25d%25%25%20damage
berries of this shrub taste like sweet, sweet death.	custom.generated.berries_of_this_shrub_taste_714ca0fb15
berserker skills reward aggression and low-health fighting. unlock berserker through the tome of mastery dropped by tengu.\n%arg%	custom.generated.berserker_skills_reward_aggression_and_4ac6066ba0	Berserker%20skills%20reward%20aggression%20and%20low-health%20fighting.%20Unlock%20Berserker%20through%20the%20Tome%20of%20Mastery%20dropped%20by%20Tengu.%5Cn%25s
better stats	custom.generated.better_stats_10cb90650e
birthday suit	custom.generated.birthday_suit_d54bb981cf
blast	custom.generated.blast_531b7acc9f
blazing enchantment	custom.generated.blazing_enchantment_c79bdef238
blind	custom.generated.blind_7afb6295c7
blinds target reducing their line of sight.	custom.generated.blinds_target_reducing_their_line_6922c7cb54
bombvoyage	custom.generated.bombvoyage_37de27c9a2
bounce glyph	custom.generated.bounce_glyph_4661367446
broken	custom.generated.broken_0b8a1caec2
brute	custom.generated.brute_48a111b581
brutes are strong mercenaries who rely on physical fitness.	custom.generated.brutes_are_strong_mercenaries_who_ee3bf17ab0
burp	custom.generated.burp_53bfdeba85
by projecting a spiritual shield around themselves, heroes can reduce incoming damage.\n- cast on hero and allies in same room\n- mana armor absorbs up to %arg% damage\n- cannot absorb more than %arg%%arg% of incoming damage	custom.generated.by_projecting_a_spiritual_shield_a693171bdd	By%20projecting%20a%20spiritual%20shield%20around%20themselves%2C%20heroes%20can%20reduce%20incoming%20damage.%5Cn-%20Cast%20on%20hero%20and%20allies%20in%20same%20room%5Cn-%20Mana%20armor%20absorbs%20up%20to%20%25d%20damage%5Cn-%20Cannot%20absorb%20more%20than%20%25d%25%25%20of%20incoming%20damage
by projecting a spiritual shield around themselves, heroes can reduce incoming damage.\n- mana armor absorbs up to %arg% damage\n- cannot absorb more than %arg%%arg% of incoming damage	custom.generated.by_projecting_a_spiritual_shield_20cc41c3b8	By%20projecting%20a%20spiritual%20shield%20around%20themselves%2C%20heroes%20can%20reduce%20incoming%20damage.%5Cn-%20Mana%20armor%20absorbs%20up%20to%20%25d%20damage%5Cn-%20Cannot%20absorb%20more%20than%20%25d%25%25%20of%20incoming%20damage
challenge!	custom.generated.challenge_aa69935f07
champions who find themselves in close combat quite often undergo special physical training to endure damage.\n+%arg%%arg% health	custom.generated.champions_who_find_themselves_in_0facadb5dd	Champions%20who%20find%20themselves%20in%20close%20combat%20quite%20often%20undergo%20special%20physical%20training%20to%20endure%20damage.%5Cn%2B%25d%25%25%20health
charge:	custom.generated.charge_00a394668e
chilling enchantment	custom.generated.chilling_enchantment_273d00f8d9
chipped	custom.generated.chipped_c4196bc596
